# g-bulk-delete-quarantine log — TSV: timestamp	event	category	old_path	new_path	reason
# run start 2026-04-29T00:01:05.702Z dryRun=false maxMoves=Infinity
2026-04-29T00:01:05.711Z	SKIP	pattern:doxygen-rtos	G:\Poze\_a_t_m_e_g_a___free_r_t_o_s_8h__dep__incl_2.png	-	source-missing
2026-04-29T00:01:05.716Z	SKIP	pattern:doxygen-rtos	G:\Poze\_a_t_m_e_g_a___free_r_t_o_s_8h__dep__incl_3.png	-	source-missing
2026-04-29T00:01:05.751Z	MOVE	pattern:doxygen-rtos	G:\Poze\_a_t_m_e_g_a___free_r_t_o_s_8h__dep__incl.png	G:\Poze\.review-for-delete\_a_t_m_e_g_a___free_r_t_o_s_8h__dep__incl.png	-
2026-04-29T00:01:05.755Z	SKIP	pattern:doxygen-rtos	G:\Poze\_a_t_m_e_g_a___free_r_t_o_s_8h__incl_2.png	-	source-missing
2026-04-29T00:01:05.760Z	SKIP	pattern:doxygen-rtos	G:\Poze\_a_t_m_e_g_a___free_r_t_o_s_8h__incl_3.png	-	source-missing
2026-04-29T00:01:05.765Z	MOVE	pattern:doxygen-rtos	G:\Poze\_a_t_m_e_g_a___free_r_t_o_s_8h__incl.png	G:\Poze\.review-for-delete\_a_t_m_e_g_a___free_r_t_o_s_8h__incl.png	-
2026-04-29T00:01:05.771Z	MOVE	pattern:hash-png	G:\Poze\1__2.png	G:\Poze\.review-for-delete\1__2.png	-
2026-04-29T00:01:05.776Z	MOVE	pattern:hash-png	G:\Poze\1__3.PNG	G:\Poze\.review-for-delete\1__3.PNG	-
2026-04-29T00:01:05.781Z	MOVE	pattern:fb-photo-id	G:\Poze\1000000134_2.jpg	G:\Poze\.review-for-delete\1000000134_2.jpg	-
2026-04-29T00:01:05.786Z	MOVE	pattern:fb-photo-id	G:\Poze\1000000166_2.jpg	G:\Poze\.review-for-delete\1000000166_2.jpg	-
2026-04-29T00:01:05.793Z	MOVE	pattern:fb-photo-id	G:\Poze\1000001893_2.jpg	G:\Poze\.review-for-delete\1000001893_2.jpg	-
2026-04-29T00:01:05.799Z	MOVE	pattern:fb-photo-id	G:\Poze\1000001894_2.jpg	G:\Poze\.review-for-delete\1000001894_2.jpg	-
2026-04-29T00:01:05.805Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002568_2.jpg	G:\Poze\.review-for-delete\1000002568_2.jpg	-
2026-04-29T00:01:05.811Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002569_2.jpg	G:\Poze\.review-for-delete\1000002569_2.jpg	-
2026-04-29T00:01:05.816Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002570_2.jpg	G:\Poze\.review-for-delete\1000002570_2.jpg	-
2026-04-29T00:01:05.822Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002571_2.jpg	G:\Poze\.review-for-delete\1000002571_2.jpg	-
2026-04-29T00:01:05.827Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002574_2.jpg	G:\Poze\.review-for-delete\1000002574_2.jpg	-
2026-04-29T00:01:05.832Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002576_2.jpg	G:\Poze\.review-for-delete\1000002576_2.jpg	-
