# g-dedup-quarantine log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-28T23:49:21.170Z dryRun=false maxMoves=Infinity
2026-04-28T23:49:21.181Z	KEEPER_MISSING	1	G:\Poze\IMG-20161017-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20161017-WA0001.jpg	-
2026-04-28T23:49:21.224Z	MOVE	1	G:\Poze\1000013099.jpg	G:\Poze\.duplicates\1000013099.jpg	-
2026-04-28T23:49:21.230Z	KEEPER_MISSING	2	G:\Poze\IMG-20161017-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20161017-WA0000.jpg	-
2026-04-28T23:49:21.238Z	MOVE	2	G:\Poze\1000013447.jpg	G:\Poze\.duplicates\1000013447.jpg	-
2026-04-28T23:49:21.245Z	KEEPER_MISSING	3	G:\Poze\IMG-20161016-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20161016-WA0001.jpg	-
2026-04-28T23:49:21.252Z	MOVE	3	G:\Poze\1000014696.jpg	G:\Poze\.duplicates\1000014696.jpg	-
2026-04-28T23:49:21.259Z	KEEPER_MISSING	4	G:\Poze\IMG-20161016-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20161016-WA0000.jpg	-
2026-04-28T23:49:21.266Z	MOVE	4	G:\Poze\1000013472.jpg	G:\Poze\.duplicates\1000013472.jpg	-
2026-04-28T23:49:21.273Z	KEEPER_MISSING	5	G:\Poze\IMG-20161014-WA0007.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20161014-WA0007.jpg	-
2026-04-28T23:49:21.281Z	MOVE	5	G:\Poze\1000013428.jpg	G:\Poze\.duplicates\1000013428.jpg	-
2026-04-28T23:49:21.287Z	KEEPER_MISSING	6	G:\Poze\IMG-20161014-WA0004.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20161014-WA0004.jpg	-
2026-04-28T23:49:21.295Z	MOVE	6	G:\Poze\1000014345.jpg	G:\Poze\.duplicates\1000014345.jpg	-
2026-04-28T23:49:21.302Z	KEEPER_MISSING	7	G:\Poze\IMG-20161014-WA0003.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20161014-WA0003.jpg	-
