# g-poze-huawei-reorg log — TSV: timestamp	old_path	new_path	filename	year	detection
# run start 2026-04-29T06:26:50.856Z dryRun=false
2026-04-29T06:26:50.899Z	G:\Poze\Poze Huawei\IMG_20180207_093337.jpg	G:\Poze\2018\IMG_20180207_093337.jpg	IMG_20180207_093337.jpg	2018	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:50.931Z	G:\Poze\Poze Huawei\IMG_20170120_125646.jpg	G:\Poze\2017\IMG_20170120_125646.jpg	IMG_20170120_125646.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:50.941Z	G:\Poze\Poze Huawei\IMG_20170122_123612.jpg	G:\Poze\2017\IMG_20170122_123612.jpg	IMG_20170122_123612.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:50.950Z	G:\Poze\Poze Huawei\IMG_20170122_123616.jpg	G:\Poze\2017\IMG_20170122_123616.jpg	IMG_20170122_123616.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:50.959Z	G:\Poze\Poze Huawei\IMG_20170124_002603.jpg	G:\Poze\2017\IMG_20170124_002603.jpg	IMG_20170124_002603.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:50.970Z	G:\Poze\Poze Huawei\IMG_20170124_143312.jpg	G:\Poze\2017\IMG_20170124_143312.jpg	IMG_20170124_143312.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:50.980Z	G:\Poze\Poze Huawei\IMG_20170124_143316.jpg	G:\Poze\2017\IMG_20170124_143316.jpg	IMG_20170124_143316.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:50.992Z	G:\Poze\Poze Huawei\IMG_20170124_143319.jpg	G:\Poze\2017\IMG_20170124_143319.jpg	IMG_20170124_143319.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.001Z	G:\Poze\Poze Huawei\IMG_20170124_143324.jpg	G:\Poze\2017\IMG_20170124_143324.jpg	IMG_20170124_143324.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.010Z	G:\Poze\Poze Huawei\IMG_20170124_143327.jpg	G:\Poze\2017\IMG_20170124_143327.jpg	IMG_20170124_143327.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.020Z	G:\Poze\Poze Huawei\IMG_20170124_143337.jpg	G:\Poze\2017\IMG_20170124_143337.jpg	IMG_20170124_143337.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.032Z	G:\Poze\Poze Huawei\IMG_20170124_143344.jpg	G:\Poze\2017\IMG_20170124_143344.jpg	IMG_20170124_143344.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.045Z	G:\Poze\Poze Huawei\IMG_20170124_143349.jpg	G:\Poze\2017\IMG_20170124_143349.jpg	IMG_20170124_143349.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.055Z	G:\Poze\Poze Huawei\IMG_20170124_143354.jpg	G:\Poze\2017\IMG_20170124_143354.jpg	IMG_20170124_143354.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.063Z	G:\Poze\Poze Huawei\IMG_20170124_143357.jpg	G:\Poze\2017\IMG_20170124_143357.jpg	IMG_20170124_143357.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.073Z	G:\Poze\Poze Huawei\IMG_20170124_143403.jpg	G:\Poze\2017\IMG_20170124_143403.jpg	IMG_20170124_143403.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.081Z	G:\Poze\Poze Huawei\IMG_20170124_143417.jpg	G:\Poze\2017\IMG_20170124_143417.jpg	IMG_20170124_143417.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.094Z	G:\Poze\Poze Huawei\IMG_20170124_143421.jpg	G:\Poze\2017\IMG_20170124_143421.jpg	IMG_20170124_143421.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.104Z	G:\Poze\Poze Huawei\IMG_20170124_143428.jpg	G:\Poze\2017\IMG_20170124_143428.jpg	IMG_20170124_143428.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.115Z	G:\Poze\Poze Huawei\IMG_20170124_143437.jpg	G:\Poze\2017\IMG_20170124_143437.jpg	IMG_20170124_143437.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.126Z	G:\Poze\Poze Huawei\IMG_20170124_143450.jpg	G:\Poze\2017\IMG_20170124_143450.jpg	IMG_20170124_143450.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.136Z	G:\Poze\Poze Huawei\IMG_20170124_143504.jpg	G:\Poze\2017\IMG_20170124_143504.jpg	IMG_20170124_143504.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.146Z	G:\Poze\Poze Huawei\IMG_20170124_143507.jpg	G:\Poze\2017\IMG_20170124_143507.jpg	IMG_20170124_143507.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.156Z	G:\Poze\Poze Huawei\IMG_20170124_143517_1.jpg	G:\Poze\2017\IMG_20170124_143517_1.jpg	IMG_20170124_143517_1.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.166Z	G:\Poze\Poze Huawei\IMG_20170124_143533.jpg	G:\Poze\2017\IMG_20170124_143533.jpg	IMG_20170124_143533.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.177Z	G:\Poze\Poze Huawei\IMG_20170124_143551.jpg	G:\Poze\2017\IMG_20170124_143551.jpg	IMG_20170124_143551.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.187Z	G:\Poze\Poze Huawei\IMG_20170124_143603.jpg	G:\Poze\2017\IMG_20170124_143603.jpg	IMG_20170124_143603.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.198Z	G:\Poze\Poze Huawei\IMG_20170124_143619.jpg	G:\Poze\2017\IMG_20170124_143619.jpg	IMG_20170124_143619.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.208Z	G:\Poze\Poze Huawei\IMG_20170124_143704.jpg	G:\Poze\2017\IMG_20170124_143704.jpg	IMG_20170124_143704.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.219Z	G:\Poze\Poze Huawei\IMG_20170124_143711.jpg	G:\Poze\2017\IMG_20170124_143711.jpg	IMG_20170124_143711.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
2026-04-29T06:26:51.230Z	G:\Poze\Poze Huawei\IMG_20170124_143725.jpg	G:\Poze\2017\IMG_20170124_143725.jpg	IMG_20170124_143725.jpg	2017	pattern:IMG_YYYYMMDD_HHMMSS
